temprature,power_usage,usage_percent
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
42,3377,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
44,5734,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12187,0
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12760,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12864,12
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12829,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
45,12743,6
